TOPIC,TOPIC PROPORTION,TOP WORDS,al,biomed,et,exampl,f,inform,journal,semant
1,0.082095183,"et, al, f, biomed, provid ",0.148060197,8.52E-31,0.780678349,6.17E-84,0.071261455,8.30E-93,0,1.44E-56
2,0.041731314,"semant, journal, biomed, inform, f ",0,0.210872491,1.27E-124,0.048067586,0.08311467,0.102555326,0.261737705,0.293640638
3,0.046738775,"ontolog, biomed, scienc, open, exampl ",0,0.108540986,7.54E-95,0.059213718,0.017805218,6.08E-104,0,1.42E-22
4,0.021720378,"map, data, f, semant, biomed ",0,8.09E-39,5.97E-84,3.37E-142,0.142378175,1.53E-45,0,2.47E-38
5,0.024388644,"annot, term, f, ontolog, semant ",0,3.46E-46,1.21E-44,1.26E-126,1.16E-15,9.72E-105,0,1.89E-25
6,0.020115495,"class, al.th, f, et, entiti ",0,1.72E-32,2.91E-11,3.36E-95,0.077293298,4.00E-97,0,8.92E-66
7,0.033554663,"ontolog, develop, term, f, biomed ",0,5.85E-13,3.67E-88,5.12E-51,0.004023194,6.33E-74,0,9.37E-53
8,0.013980877,"end, inform, exampl, author, et ",0,2.01E-71,1.28E-05,0.269519781,7.95E-21,0.309102035,0,8.19E-78
9,0.015493315,"function, provid, ontolog, inform, f ",0,3.17E-43,1.73E-137,1.67E-79,0.078858493,0.091798414,0,1.62E-48
10,0.007882722,"number, f, term, et, provid ",0,6.28E-93,1.22E-22,2.05E-119,0.184782482,1.58E-93,0,8.59E-89
11,0.007907238,"knowledg, f, et, biomed, exampl ",0,1.44E-20,3.73E-20,3.20E-23,9.32E-16,1.89E-106,0,1.56E-34
12,0.027642137,"term, author, defin, f, semant ",0,8.25E-31,1.40E-39,5.18E-52,0.003205077,3.88E-25,0,2.30E-17
13,0.053483331,"files_keyword, f, biomed, term, semant ",0,5.92E-21,4.30E-40,1.02E-62,1.21E-07,3.18E-51,0,2.93E-29
14,0.053488974,"run, f, biomed, term, semant ",0,5.96E-21,4.29E-40,1.02E-62,1.21E-07,3.20E-51,0,2.93E-29
15,0.013337179,"queri, term, f, semant, ontolog ",0,3.33E-44,3.26E-77,5.00E-197,2.51E-19,6.85E-129,0,2.38E-28
16,0.053485731,"bigdata, f, biomed, term, semant ",0,5.95E-21,4.27E-40,1.02E-62,1.20E-07,3.17E-51,0,2.94E-29
17,0.053488982,"textfil, f, biomed, term, semant ",0,5.90E-21,4.33E-40,1.01E-62,1.21E-07,3.16E-51,0,2.91E-29
18,0.053490465,"txt, f, biomed, term, semant ",0,6.01E-21,4.36E-40,1.02E-62,1.21E-07,3.22E-51,0,2.96E-29
19,0.013814584,"entiti, name, f, biomed, et ",0,1.62E-07,1.82E-23,3.15E-102,0.001864675,6.33E-34,0,2.30E-37
20,0.011184025,"avail, data, inform, f, exampl ",0,8.73E-35,8.70E-49,6.29E-29,1.64E-24,8.99E-06,0,5.84E-30
21,0.025368463,"data, access, open, f, semant ",0,4.35E-46,5.76E-127,7.18E-73,0.066064428,2.91E-86,0,1.84E-08
22,0.007718286,"dataset, f, provid, data, biomed ",0,8.66E-36,5.20E-46,3.19E-104,5.43E-06,3.01E-125,0,8.72E-39
23,0.012263856,"facilit, biomed, provid, semant, data ",0,0.153136523,2.18E-112,5.95E-80,0.000299746,1.14E-111,0,0.117978252
24,0.006884418,"relev, f, provid, biomed, semant ",0,1.91E-21,1.78E-45,2.55E-56,4.14E-06,1.81E-111,0,1.45E-28
