TOPIC,TOPIC PROPORTION,,al,biomed,et,exampl,journal,page,process,semant,standard,type
1,0.058426484,"et, al, exampl, standard, biomed ",0.193137903,1.57E-22,0.755149393,0.051712703,5.14E-58,0,2.61E-71,5.52E-33,2.21E-10,4.46E-27
2,0.091125835,"semant, biomed, page, journal, process ",0,0.284557567,1.82E-99,1.04E-35,0.146687391,0.230474923,0.019616184,0.293409955,0.016148283,0.009104961
3,0.023454491,"queri, ontolog, provid, web, knowledg ",0,2.70E-49,2.89E-59,3.95E-24,4.52E-162,0,1.94E-172,0.029334738,5.25E-50,6.43E-72
4,0.012207309,"addit, s, organ, biolog, et ",0,1.31E-55,1.41E-15,5.46E-65,2.04E-132,0,2.65E-88,4.23E-58,3.93E-46,1.34E-86
5,0.022532786,"comput, inform, data, biolog, web ",0,5.50E-130,2.14E-123,3.26E-129,1.33E-128,0,1.51E-162,0.064558448,2.34E-73,2.71E-162
6,0.024307499,"biomed, entiti, ontolog, repres, et ",0,0.526826745,3.62E-18,7.48E-65,2.07E-85,0,1.92E-52,5.07E-61,4.24E-32,6.73E-31
7,0.015807024,"represent, annot, web, repres, integr ",0,1.13E-75,1.03E-36,1.78E-103,7.66E-110,0,1.07E-116,9.56E-49,2.77E-91,3.12E-79
8,0.022674516,"ontolog, inform, end, avail, biolog ",0,7.09E-27,2.35E-09,1.16E-56,2.09E-46,0,6.00E-50,1.04E-49,4.48E-07,1.01E-64
9,0.013699529,"system, term, inform, avail, web ",0,6.88E-78,8.84E-42,2.25E-114,2.43E-93,0,4.78E-94,1.48E-05,2.33E-63,2.67E-99
10,0.042859904,"ontolog, data, open, biolog, biomed ",0,0.077024625,2.90E-21,2.87E-111,1.98E-140,0,4.23E-186,0.007007526,1.22E-54,1.18E-46
11,0.017200124,"reason, class, process, standard, biolog ",0,1.04E-91,2.06E-62,5.72E-148,5.36E-72,0,0.124028072,6.58E-91,0.087743758,5.02E-170
12,0.023897871,"annot, languag, process, integr, ontolog ",0,7.83E-19,1.45E-28,1.77E-48,2.39E-24,0,0.093307312,1.73E-26,5.31E-18,4.42E-95
13,0.01777375,"type, repres, databas, provid, ontolog ",0,1.41E-25,2.21E-84,1.18E-37,4.47E-87,0,1.19E-164,9.72E-33,2.30E-47,0.369117088
