TOPIC,TOPIC PROPORTION,TOP WORDS,abl,al,annot,challeng,characterist,complex,develop,doi,domain,due,effici,employ,et,evalu,f,general,implement,initi,j,journal,label,lead,lexic,match,name,ofth,perform,platform,primari,search,semant,strategi,synonym,system,track,type
1,0.00124153,"j, diseas, contrast, complex, access ",2.15E-27,2.84E-08,6.75E-15,5.38E-25,1.15E-14,9.63E-05,6.50E-08,1.96E-12,1.23E-06,3.78E-07,5.30E-14,4.24E-17,2.71E-08,9.24E-08,6.58E-16,1.04E-09,1.73E-13,1.07E-15,0.999199206,1.21E-06,4.01E-21,1.28E-07,8.49E-42,8.48E-14,1.26E-05,1.09E-08,2.67E-15,0,3.20E-20,4.36E-11,1.10E-06,7.09E-23,2.51E-30,1.03E-07,4.71E-32,2.18E-07
2,0.025291477,"platform, system, match, challeng, strategi ",0.020022272,0.022143934,0.018932946,0.065083397,0.020774077,0.035580406,0.023110584,0.016651859,0.009961255,0.019142457,0.018087166,0.016346937,0.022158107,0.020411843,0.018278249,0.025323005,0.021108067,0.014485735,0,0.017823282,0.020038173,0.02373978,0.014247442,0.07703176,0.02438401,0.018910249,0.043970781,0.126086982,0.016638027,0.018795087,0.014440502,0.044641341,0.017035063,0.08030795,0.017220851,0.017086294
3,0.033220974,"term, protein, experi, gene, target ",1.63E-104,0.023874371,0.00721231,0.002735943,0.000857948,2.29E-95,1.00E-31,5.30E-104,1.79E-08,3.05E-06,0.000188657,0.001715834,0.023935441,0.000146578,9.16E-07,4.55E-13,6.38E-08,1.94E-100,0,0.000683901,0.001664978,1.87E-07,6.62E-05,5.17E-99,0.023122863,0.000765901,0.009918324,0,6.62E-111,2.36E-08,0.002021463,3.88E-105,0.007879342,8.67E-05,2.75E-110,1.49E-06
4,0.039487497,"ontolog, inform, textual, evalu, metric ",3.66E-40,0.003226841,1.50E-32,6.65E-40,2.89E-41,0.003003418,0.0031405,1.01E-62,0.003196122,0.003233187,1.81E-45,3.07E-37,0.003229189,0.029738842,1.02E-37,1.19E-31,2.89E-33,2.86E-43,0,0.003210258,5.40E-39,7.19E-32,0.003125506,1.89E-39,4.99E-30,2.62E-34,0.006571401,0,1.31E-62,3.48E-41,0.006489246,2.64E-31,2.62E-45,0.00309175,4.13E-41,1.61E-31
5,0.039222181,"clinic, languag, text, process, outcom ",1.16E-36,0.008027589,5.79E-46,0.00539059,7.57E-42,4.68E-31,0.008169224,3.36E-71,0.00250344,5.35E-34,3.32E-37,5.54E-56,0.005257898,1.84E-30,3.61E-37,8.19E-34,0.005117952,2.68E-33,0,0.007807429,2.74E-49,0.002682236,5.53E-71,0.002227017,5.08E-31,2.82E-32,1.08E-31,0,1.07E-37,5.79E-28,0.004739332,6.60E-72,2.72E-43,0.010246335,1.95E-65,1.48E-38
6,0.039170595,"annot, concept, agreement, mention, normal ",0.000648641,0.005240773,0.064962957,1.68E-48,5.48E-50,0.000448902,0.007450308,0.000651848,0.0014288,0.003477628,3.75E-50,0.000653537,0.005245541,0.002465013,1.06E-52,0.003504445,0.00057479,1.05E-77,0,0.005011814,2.19E-49,0.00061013,1.27E-52,0.000671639,0.005467301,0.001245204,0.001071739,0,9.89E-89,1.21E-48,0.020155229,3.86E-100,2.35E-50,0.00168437,7.60E-97,0.005996576
7,0.039114202,"drug, mine, network, label, identifi ",0.002320204,0.010299997,0.003955673,0.001196316,0.002313177,9.42E-58,0.00061991,9.77E-68,0.000320094,2.11E-59,4.98E-62,9.39E-68,0.009474841,0.002955629,6.59E-68,0.000660445,0.000616097,7.21E-62,0,0.007128125,0.030084858,0.002315491,3.25E-91,6.21E-05,0.00310271,8.24E-57,0.005279693,0,1.03E-65,3.96E-57,0.008648877,0.00132316,6.61E-76,0.004835401,0.001515971,0.002222185
8,0.038753583,"ontolog, term, develop, data, semant ",0.001197178,0.005400749,0.007272264,0.002390122,8.92E-74,8.26E-63,0.024809022,0.000586266,0.00212554,7.38E-68,0.00179739,4.26E-71,0.004791425,0.002411415,1.37E-69,0.001798302,0.001167917,0.004173409,0,0.0047469,1.22E-63,0.001812191,2.49E-73,0.000625021,0.001788639,0.000564815,0.000544687,0,0.001202827,2.49E-67,0.022989038,0.012562008,1.39E-63,0.002239123,0.000595622,5.96E-61
9,0.037836419,"diseas, genet, classif, inform, ontolog ",1.02E-66,0.005301682,4.28E-62,2.91E-67,0.00120188,0.002351186,0.004796339,2.77E-77,0.002075473,4.34E-58,1.56E-73,5.17E-62,0.005319989,1.49E-60,7.56E-69,0.002422237,5.70E-62,1.96E-65,0,0.004578016,2.50E-68,0.007356852,5.90E-81,1.84E-74,0.008417878,0.001145755,0.002268731,0,9.96E-85,0.003625804,0.012869693,7.84E-79,2.28E-72,0.011921551,3.62E-74,0.010722541
10,0.036902914,"formal, class, concept, map, context ",2.65E-62,0.006872092,3.21E-59,2.10E-68,0.000644755,0.006044185,3.76E-61,6.78E-79,0.006884719,0.00191628,8.31E-70,6.84E-59,0.006869801,0.003190018,3.96E-60,2.06E-57,1.05E-59,0.000889003,0,0.006650798,0.008420068,0.004589571,0.015568895,0.012801562,0.005806393,0.000419162,0.00228411,0,0.001279518,2.09E-58,0.010925113,2.48E-71,0.005196517,0.012952897,0.005173291,0.008954447
