TOPIC NUMBER,TOPIC PROPORTION,TOP WORDS,,assess,author,care,describ,diseas,integr,languag,learn,network,process,rather
1,0.13240315,"diseas, rather, integr, care, learn ",,4.0019317313141e-322,1.84E-249,0.031048407,0.028298439,0.714264866,0.065894563,0.01957848,0.029136915,0,0.022495222,0.089283108
2,0.06375921,"network, author, assess, data, learn ",,0.108464939,0.347348768,2.97E-141,6.26E-97,5.11E-222,1.29E-116,1.11E-97,6.64E-12,0.544186293,2.87E-97,0
3,0.11393933,"note, ehr, clinic, autom, system ",,0.063455741,3.47E-106,4.22E-140,3.19E-119,5.92878775009496e-323,9.58E-169,4.58E-140,0.028527347,0,4.12E-142,0
4,0.07361124,"ontolog, autom, case, support, learn ",,1.01E-256,6.87E-277,3.25E-93,4.65E-175,1.41E-162,1.72E-62,0.055346884,0.057184382,0,8.62E-223,0
5,0.09491533,"provid, biomed, access, data, relat",,4.21E-249,0.064945743,7.63E-42,4.83E-57,7.84E-74,3.31E-12,4.74E-35,4.66E-266,0,8.72E-33,0
6,0.11596379,"health, medic, ehr, record, data ",,5.33E-272,9.12E-186,0.025544974,0.028467129,6.03E-77,5.62E-08,0.063956532,0.028429218,0,0.031977818,0
7,0.10853775,"clinic, process, automat, semant, avail ",,0.026810573,0.037942684,0.035288428,2.20E-230,6.03E-257,4.13E-108,0.070213592,1.21E-306,0,0.10535158,0
8,0.07502522,"patient, set, extract, requir, describ ",,2.71E-46,1.84E-53,2.32E-164,0.078594179,4.85E-73,1.45E-58,5.14E-218,1.43E-190,0,1.67E-226,0
9,0.09331432,"inform, health, patient, come, support ",,2.71E-179,9.70E-47,4.87E-20,1.32E-298,3.16E-57,8.83E-10,1.98E-09,0.041134827,0,4.79E-08,0
10,0.12853065,"data, system, calcul, structur, integr ",,2.97E-98,1.95E-23,1.46E-79,4.20E-53,8.49E-162,0.058882185,1.46E-164,5.21E-235,0,8.06E-168,0
